AA;1;9;7.92;3.31
AAL;1;11;-2.86;-1.20
ABNB;1;1;-0.03;-0.02
AMCX;1;3;0.81;0.38
APA;1;12;5.64;2.41
APA;1;12;-2.04;-0.84
ARCT;1;4;-0.24;-0.11
ATRA;1;14;11.34;4.84
BA;1;1;-1.15;-0.51
BBBY;1;8;0.64;0.28
BIDU;1;1;-0.61;-0.20
BILI;1;1;-0.62;-0.43
BYND;1;1;-2.04;-1.32
CCL;1;9;-0.09;-0.04
CFG;1;5;-1.35;-0.60
CLF;1;17;2.38;0.97
CLF;1;16;-0.48;-0.20
CREE;1;2;-3.30;-1.37
CRWD;1;1;-2.42;-1.06
CRWD;1;1;-2.39;-1.04
CVX;1;2;-0.18;-0.09
DISCA;1;4;-0.60;-0.25
DKNG;1;3;0.03;0.01
DKNG;1;3;-0.33;-0.16
DVN;1;10;0.80;0.35
EDIT;1;5;-4.45;-1.85
ENDP;1;32;-4.80;-1.96
EOG;1;3;-2.85;-1.44
EQT;1;13;6.50;2.68
ETSY;1;1;-2.82;-1.14
ETSY;1;1;-2.77;-1.10
F;1;20;1.80;0.74
FCX;1;7;2.59;1.04
FIVN;1;1;-3.80;-1.89
FOX;1;7;6.02;2.52
FOXA;1;7;9.80;3.94
FOXA;1;6;0.48;0.21
FRHC;1;4;3.20;1.41
FSLR;1;2;0.04;0.02
FTI;1;29;2.32;0.95
GM;1;4;-0.76;-0.35
GPS;1;9;1.89;0.81
GT;1;14;4.76;1.92
HAL;1;10;-0.80;-0.34
HOLX;1;3;-2.76;-1.21
IVZ;1;10;-3.50;-1.41
JWN;1;6;-2.40;-1.03
KR;1;7;-2.80;-1.20
LTHM;1;12;16.80;7.10
LYB;1;2;-1.58;-0.73
LYFT;1;4;-1.48;-0.64
M;1;15;-2.70;-1.15
MAC;1;18;-1.62;-0.68
MIDD;1;1;-2.99;-1.83
MLCO;1;11;6.49;2.68
MOMO;1;14;-0.28;-0.12
MOS;1;7;2.59;1.17
MPC;1;4;-1.76;-0.77
MRO;1;21;1.47;0.61
MUR;1;14;1.54;0.64
NKTR;1;10;-3.60;-1.50
NKTR;1;10;0.50;0.21
NRG;1;6;2.34;0.99
NTLA;1;3;-1.29;-0.66
NVTA;1;5;-1.95;-0.88
OIS;1;30;2.70;1.11
OSUR;1;22;-0.22;-0.09
OSUR;1;22;3.74;1.53
OXY;1;8;1.04;0.47
PBF;1;16;0.96;0.40
PBF;1;16;-3.68;-1.49
PLAY;1;5;-1.80;-0.85
PSTG;1;10;-2.60;-1.05
PTON;1;1;-0.27;-0.21
PYPL;1;1;-2.73;-1.00
QDEL;1;1;-1.37;-0.81
QRTEA;1;20;0.80;0.33
RCL;1;2;1.60;0.85
RRC;1;24;-0.96;-0.39
RRC;1;24;-1.44;-0.58
SDGR;1;2;-2.60;-1.14
SEDG;1;1;-3.17;-1.02
SNAP;1;3;-0.72;-0.35
SONO;1;5;-1.15;-0.55
SPR;1;5;-2.50;-1.06
SQ;1;1;0.62;0.24
TAL;1;3;-3.09;-1.26
TGT;1;1;-0.31;-0.16
TRIP;1;4;0.56;0.27
TRIP;1;4;-4.44;-2.09
URBN;1;7;-1.12;-0.46
VALE;1;14;-0.42;-0.17
VALE;1;13;-2.47;-1.06
VIPS;1;6;-1.86;-0.79
VLO;1;3;-0.75;-0.32
WRK;1;5;-1.55;-0.66
YY;1;1;-1.04;-0.80
ZYNE;1;52;4.16;1.68
ZYXI;1;16;-1.28;-0.54
